From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),VWS (m/s),CH4 (),Xylene (ug/m3),AT (degree C),RF (mm)
2020-11-13 14:00:00,2020-11-13 15:00:00,51.48,98.2,,60.77,,,3.17,,,,,,,34.69,1.14,69.44,225.15,,,,,,
2020-11-13 15:00:00,2020-11-13 16:00:00,54.46,102.92,,57.5,,0.2,2.42,,1.26,0.03,,,,38.86,,0.5,223.95,,,0.24,,,
2020-11-13 16:00:00,2020-11-13 17:00:00,58.29,108.75,,138.4,,0.2,1.48,0.03,3.66,0.03,,,,51.09,0.33,102.91,225.9,,,0.38,,,
2020-11-13 17:00:00,2020-11-13 18:00:00,65.06,119.95,,187.73,,0.2,1.41,0.02,6.13,0.03,,,,68.76,0.33,104.06,223.2,,,0.56,,,
2020-11-13 18:00:00,2020-11-13 19:00:00,75.65,132.93,,172.2,,0.2,2.34,0.04,5.92,0.03,,,,78.6,0.37,142.72,223.3,,,0.49,,,
2020-11-13 19:00:00,2020-11-13 20:00:00,84.5,143.05,,161.69,,0.2,2.54,0.03,5.88,0.03,,,,81.91,0.33,132.26,223.3,,,0.46,,,
2020-11-13 20:00:00,2020-11-13 21:00:00,97.22,163.85,,132.03,,0.2,3.38,0.03,6.29,0.04,,,,88.44,0.35,94.25,222.95,,,0.55,,,0.0
2020-11-13 21:00:00,2020-11-13 22:00:00,103.07,174.9,,122.31,,,3.76,0.1,4.0,0.0,,,,89.06,0.46,103.44,222.68,,,0.55,,,0.0
2020-11-13 22:00:00,2020-11-13 23:00:00,108.42,182.6,,108.91,,,4.19,,,,,,,89.1,0.43,64.0,222.25,,,0.59,,,0.0
2020-11-13 23:00:00,2020-11-14 00:00:00,135.69,222.7,,97.67,,,4.12,0.1,4.0,0.0,,,,89.1,0.48,15.22,221.6,,,0.66,,,0.0
2020-11-14 00:00:00,2020-11-14 01:00:00,144.02,230.0,,84.62,,,18.31,0.1,4.0,30.0,,,,89.1,,,222.3,,,0.73,,,0.0
2020-11-14 01:00:00,2020-11-14 02:00:00,159.33,249.68,,75.63,,,6.69,,,,,,,89.1,0.42,40.51,221.98,,,0.73,,,0.0
2020-11-14 02:00:00,2020-11-14 03:00:00,187.59,289.8,,66.35,,,7.25,,,,,,,89.1,0.39,182.43,222.5,,,0.75,,,0.0
