From Date,To Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),RH (%),WS (m/s),WD (degree),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2020-11-13 14:00:00,2020-11-13 15:00:00,142.7,390.0,0.57,17.92,18.48,48.87,2.78,0.83,39.24,2.4,6.77,0.52,0.16,38.61,1.45,243.4,,0.5,28.08,0.0
2020-11-13 15:00:00,2020-11-13 16:00:00,130.43,326.85,1.58,17.61,19.19,56.64,2.69,0.71,30.93,2.7,6.48,0.45,0.15,39.48,1.89,250.31,,0.45,28.44,0.0
2020-11-13 16:00:00,2020-11-13 17:00:00,114.45,274.28,3.96,24.29,28.26,86.66,2.45,0.84,26.15,2.47,8.39,0.6,0.2,41.33,1.34,237.67,,0.69,26.82,0.0
2020-11-13 17:00:00,2020-11-13 18:00:00,148.47,292.0,14.84,37.68,52.52,114.45,2.5,1.65,22.16,3.42,13.08,1.09,0.33,48.07,1.45,234.44,,1.23,24.71,0.0
2020-11-13 18:00:00,2020-11-13 19:00:00,151.22,449.3,40.67,46.61,87.29,106.35,3.21,3.24,21.95,5.76,22.55,2.22,0.54,51.32,2.34,238.67,,2.15,25.25,0.0
2020-11-13 19:00:00,2020-11-13 20:00:00,167.1,487.02,43.11,39.18,82.28,115.34,3.2,3.4,21.36,7.97,26.96,2.83,0.65,54.58,1.9,234.56,,2.76,23.93,0.0
2020-11-13 20:00:00,2020-11-13 21:00:00,176.75,523.9,55.98,33.13,89.11,139.77,3.26,3.4,21.57,7.21,28.15,2.89,0.68,56.5,2.84,239.05,,2.81,24.49,0.0
2020-11-13 21:00:00,2020-11-13 22:00:00,196.62,542.65,80.11,34.76,114.87,158.77,3.37,3.61,22.05,7.03,30.25,2.97,0.75,59.52,2.96,238.43,,2.98,23.61,0.0
2020-11-13 22:00:00,2020-11-13 23:00:00,181.2,602.17,118.04,34.41,152.45,166.66,3.65,4.36,6.11,8.14,32.44,3.09,0.74,62.75,2.94,237.88,,3.12,22.85,0.0
2020-11-13 23:00:00,2020-11-14 00:00:00,174.73,561.03,101.93,33.95,135.88,164.2,3.49,4.14,4.24,8.15,32.04,3.03,0.73,63.05,2.94,238.71,,3.08,22.53,0.0
2020-11-14 00:00:00,2020-11-14 01:00:00,173.75,551.85,124.16,59.15,130.29,172.08,3.44,3.79,4.41,8.24,32.39,2.96,0.74,62.63,2.96,238.43,,3.03,22.18,0.0
2020-11-14 01:00:00,2020-11-14 02:00:00,168.4,464.58,111.87,58.34,120.04,157.17,3.33,3.38,5.12,7.64,32.11,2.89,0.74,63.54,2.96,238.56,,2.94,21.61,0.0
2020-11-14 02:00:00,2020-11-14 03:00:00,158.7,443.17,110.66,55.31,117.5,140.56,3.24,3.31,4.37,7.09,28.99,2.46,0.63,64.26,2.92,238.05,,2.53,21.33,0.0
